clip,actor,sentence,intended,intensity,n_raters,v_A,v_D,v_F,v_H,v_N,v_S,p_A,p_D,p_F,p_H,p_N,p_S,tied,unambiguous,agreement,perceived,perceived_randtie,perceived_strict,entropy,p_intended
1001_DFA_ANG_XX,1001,DFA,A,XX,9,6,2,0,0,1,0,0.6666666666666666,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,False,True,0.6666666666666666,A,A,A,0.4736604283676854,0.6666666666666666
1001_DFA_DIS_XX,1001,DFA,D,XX,9,1,4,0,1,3,0,0.1111111111111111,0.4444444444444444,0.0,0.1111111111111111,0.3333333333333333,0.0,False,True,0.4444444444444444,D,D,D,0.6780428259561716,0.4444444444444444
1001_DFA_FEA_XX,1001,DFA,F,XX,9,2,0,5,0,2,0,0.2222222222222222,0.0,0.5555555555555556,0.0,0.2222222222222222,0.0,False,True,0.5555555555555556,F,F,F,0.5553351369244943,0.5555555555555556
1001_DFA_HAP_XX,1001,DFA,H,XX,8,1,1,2,0,4,0,0.125,0.125,0.25,0.0,0.5,0.0,False,True,0.5,N,N,N,0.6769924126604477,0.0
1001_DFA_NEU_XX,1001,DFA,N,XX,9,1,1,1,0,5,1,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.5555555555555556,0.1111111111111111,False,True,0.5555555555555556,N,N,N,0.727269717917624,0.5555555555555556
1001_DFA_SAD_XX,1001,DFA,S,XX,9,1,2,0,0,5,1,0.1111111111111111,0.2222222222222222,0.0,0.0,0.5555555555555556,0.1111111111111111,False,True,0.5555555555555556,N,N,N,0.6413024274210591,0.1111111111111111
1001_IEO_ANG_HI,1001,IEO,A,HI,9,2,6,0,0,1,0,0.2222222222222222,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,False,True,0.6666666666666666,D,D,D,0.4736604283676854,0.2222222222222222
1001_IEO_ANG_LO,1001,IEO,A,LO,10,0,1,0,2,7,0,0.0,0.1,0.0,0.2,0.7,0.0,False,True,0.7,N,N,N,0.44750345474037617,0.0
1001_IEO_ANG_MD,1001,IEO,A,MD,12,5,5,0,0,1,1,0.4166666666666667,0.4166666666666667,0.0,0.0,0.08333333333333333,0.08333333333333333,True,False,0.4166666666666667,D,A,TIE,0.6383158058146023,0.4166666666666667
1001_IEO_DIS_HI,1001,IEO,D,HI,11,6,4,0,1,0,0,0.5454545454545454,0.36363636363636365,0.0,0.09090909090909091,0.0,0.0,False,True,0.5454545454545454,A,A,A,0.5114887914806514,0.36363636363636365
1001_IEO_DIS_LO,1001,IEO,D,LO,11,0,2,1,0,7,1,0.0,0.18181818181818182,0.09090909090909091,0.0,0.6363636363636364,0.09090909090909091,False,True,0.6363636363636364,N,N,N,0.5768419656529612,0.18181818181818182
1001_IEO_DIS_MD,1001,IEO,D,MD,11,1,1,1,0,8,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.7272727272727273,0.0,False,True,0.7272727272727273,N,N,N,0.4942483445940455,0.09090909090909091
1001_IEO_FEA_HI,1001,IEO,F,HI,11,2,3,3,1,2,0,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0,True,False,0.2727272727272727,D,F,TIE,0.863173161693871,0.2727272727272727
1001_IEO_FEA_LO,1001,IEO,F,LO,10,0,0,2,3,4,1,0.0,0.0,0.2,0.3,0.4,0.1,False,True,0.4,N,N,N,0.7143002438742897,0.2
1001_IEO_FEA_MD,1001,IEO,F,MD,11,0,3,5,0,3,0,0.0,0.2727272727272727,0.45454545454545453,0.0,0.2727272727272727,0.0,False,True,0.45454545454545453,F,F,F,0.5955539999137374,0.45454545454545453
