system,train,WA_intended,UAR_intended,WA_perceived,UAR_perceived,rater_agreement,soft_CE
FUNC-GB,intended,0.5581832840634238,0.5584774982984421,0.38255845202902444,0.4932718859676355,0.3484887798009271,2.6926968813582013
FUNC-GB,perceived,0.3254501478097286,0.34094878533733547,0.665950013437248,0.3927282866192303,0.5162532240669838,1.8438231384200605
FUNC-GB,soft,0.4478634775597958,0.45423780216375925,0.5155872077398549,0.511497244414194,0.43310344102133946,1.403323122052386
FUNC-LR,intended,0.5455522708949208,0.5461068522902933,0.3716742811072292,0.4818415499672559,0.33849857852142184,2.4577768631500523
FUNC-LR,perceived,0.430663800053749,0.4368981967707916,0.5060467616232196,0.49334583453678915,0.42065948287730065,1.7147798204465912
FUNC-LR,soft,0.4758129535071217,0.4776950542749337,0.4344262295081967,0.5198864636621646,0.38231339191430563,1.507298398507851
FUNC-MLP,intended,0.5459553883364687,0.5464558496076101,0.3820209621069605,0.48142357486530246,0.3462693943310713,2.2222430622087748
FUNC-MLP,perceived,0.4510884170921795,0.45456592961038966,0.4789035205589895,0.5061527591769472,0.4057139182743859,1.5617290083776467
FUNC-MLP,soft,0.49059392636388066,0.4907209900956178,0.4119860252620263,0.5246889411878191,0.36948513429298163,1.485894002637685
FUNC-RBF,intended,0.5100779360386992,0.5129090404178221,0.3997581295350712,0.4623854006374042,0.357663342062697,1.6960635842711347
FUNC-RBF,perceived,0.43953238376780435,0.4432221294940491,0.4377855415210965,0.47477967433855417,0.38098482521688654,1.515298605360153
FUNC-RBF,soft,0.44557914539102395,0.4463705847255226,0.38430529427573235,0.4635270038441588,0.34583681383264825,1.556682002467055
MFCC-LR,intended,0.4527008868583714,0.4517889098230983,0.3404998656275195,0.42684970974259,0.31446091234454576,1.8405461419818676
MFCC-LR,perceived,0.3970706799247514,0.3984332155693578,0.3900833109379199,0.43354139904710015,0.34655924527262877,1.6079363083379354
MFCC-LR,soft,0.4204514915345337,0.4197405090945588,0.3543402311206665,0.4394715931260951,0.32577667972387137,1.570905744853734
MFCC-RBF,intended,0.4801128728836334,0.48122531956838693,0.3732867508734211,0.4411117049784643,0.33567814281332153,1.8167717293473116
MFCC-RBF,perceived,0.42018274657350174,0.4213649812255609,0.39922063961300724,0.4489421086035689,0.3533053351885655,1.5376752423256073
MFCC-RBF,soft,0.42192958882020964,0.42124953344378685,0.35850577801666217,0.4354007096996162,0.3264973612192102,1.558668137080239
SSL-LR,intended,0.735151840902983,0.7377020366339818,0.4377855415210965,0.5894791502094908,0.3919382037831379,3.2596740370948964
SSL-LR,perceived,0.5214995968825584,0.5311803106160569,0.6418973394248858,0.6452815567922833,0.5131701706278433,1.483654545957393
SSL-LR,soft,0.597285675893577,0.6012977681784415,0.5361461972588014,0.6667654768726616,0.46071390276241125,1.3563369413525146
SSL-MLP,intended,0.7223864552539639,0.7253778351357422,0.44235420585864016,0.5810633399872355,0.39467842319226354,3.110065590186819
SSL-MLP,perceived,0.5305025530771298,0.5393223347908465,0.6173071754904595,0.6436840655296979,0.49961672334354407,1.5184441946755345
SSL-MLP,soft,0.6091104541789841,0.6126152698450152,0.5217683418435904,0.6664958608881487,0.45337207061205986,1.3465787009909171
